"id","Geographic Area Name","total_pop","65_years_and_older_prop","20_to_54_years_prop","high_school_or_higher_prop","median_income_12_months","prop_minority","percent_civilian_pop_with_health_insurance"
"1400000US06001432100","Census Tract 4321, Alameda County, California",3574,0.184107442641298,0.452993844432009,0.754336877448237,68830,0.293508673754896,96
"1400000US06001432200","Census Tract 4322, Alameda County, California",4078,0.197400686611084,0.453653751839137,0.698871996076508,51960,0.463217263364394,94.8
"1400000US06001432300","Census Tract 4323, Alameda County, California",4744,0.103920741989882,0.555227655986509,0.622892074198988,54202,0.444772344013491,95.9
"1400000US06001432400","Census Tract 4324, Alameda County, California",7003,0.106668570612595,0.489790089961445,0.541482221904898,36620,0.487648150792517,92.6
"1400000US06001432501","Census Tract 4325.01, Alameda County, California",4854,0.143180881747013,0.477338277709106,0.552740008240626,31937,0.370622167284714,93.7
"1400000US06001432502","Census Tract 4325.02, Alameda County, California",5178,0.0990730011587485,0.527037466203167,0.565469293163384,40875,0.429509463113171,94
"1400000US06001432600","Census Tract 4326, Alameda County, California",7043,0.164134601732216,0.504614510861849,0.678404089166548,46884,0.449666335368451,93.1
"1400000US06001432700","Census Tract 4327, Alameda County, California",2816,0.174360795454545,0.463423295454545,0.723721590909091,61346,0.317826704545455,94.2
"1400000US06001432800","Census Tract 4328, Alameda County, California",3979,0.2636340789143,0.418949484795175,0.707966825835637,62327,0.317165116863534,98.5
"1400000US06001433000","Census Tract 4330, Alameda County, California",3654,0.180623973727422,0.454570333880679,0.695402298850575,56288,0.264915161466886,97.5
"1400000US06001433102","Census Tract 4331.02, Alameda County, California",4485,0.156521739130435,0.512597547380156,0.665105908584169,46073,0.4479375696767,94.3
"1400000US06001433103","Census Tract 4331.03, Alameda County, California",3523,0.0678399091683225,0.556344024978711,0.620493897246665,42407,0.595231336928754,91.8
